"","ticker","avg_volume"
"1","PETR4.SA",61346272.6270096
"2","B3SA3.SA",38121187.6004823
"3","HAPV3.SA",35016170.1511335
"4","BBDC4.SA",33377306.4979904
"5","ITSA4.SA",28128061.8629421
"6","ITUB4.SA",27289826.9790997
"7","COGN3.SA",24783614.1985531
"8","BBAS3.SA",24145353.807074
"9","ABEV3.SA",20884400.5422026
"10","VALE3.SA",19730150.7094051
"11","RAIZ4.SA",16580325.9306804
"12","CMIG4.SA",16362612.7757235
"13","GGBR4.SA",14988911.823955
"14","ASAI3.SA",12772615.3153153
"15","GOAU4.SA",11675468.0196945
"16","JBSS3.SA",10678867.7419614
"17","NTCO3.SA",10674705.8898305
"18","PETZ3.SA",10056049.2387161
"19","CSNA3.SA",9714542.20618971
"20","PRIO3.SA",9679155.37379421
"21","RAIL3.SA",9220876.10875106
"22","UGPA3.SA",9005128.06310289
"23","LREN3.SA",8967331.49919614
"24","LWSA3.SA",8965704.44250871
"25","CMIN3.SA",8795999.3281075
"26","VBBR3.SA",8437687.33003708
"27","AZUL4.SA",8266820.72315165
"28","BRFS3.SA",8249958.38946945
"29","CCRO3.SA",7977593.87339228
"30","MGLU3.SA",7824091.81109325
"31","BRAV3.SA",7468645.45454545
"32","CVCB3.SA",7433673.210209
"33","CSAN3.SA",7142754.24638264
"34","EQTL3.SA",7079344.27813505
"35","WEGE3.SA",7076935.63022508
"36","RADL3.SA",6662606.78737942
"37","MRFG3.SA",6566442.28858521
"38","GOLL4.SA",6509940.66680064
"39","EMBR3.SA",6270375.14308682
"40","MRVE3.SA",6253292.44172026
"41","RENT3.SA",5694815.09807074
"42","GMAT3.SA",5612098.26175869
"43","TIMS3.SA",5411730.86776527
"44","ELET3.SA",5345838.26165595
"45","POMO4.SA",5308865.06189711
"46","HBSA3.SA",5298168.95854398
"47","CRFB3.SA",5091108.23991031
"48","BEEF3.SA",5009533.35008039
"49","BRAP4.SA",4997085.73995177
"50","VAMO3.SA",4855156.04530387
"51","BBSE3.SA",4850634.92041801
"52","RDOR3.SA",4800608.02032086
"53","CYRE3.SA",4704586.32918006
"54","SUZB3.SA",4547511.69614148
"55","ENEV3.SA",4394189.94855305
"56","IFCM3.SA",4356736.83590963
"57","ALOS3.SA",4290211.84210526
"58","RRRP3.SA",4256673.76464435
"59","MULT3.SA",4096021.63786174
"60","CBAV3.SA",3844348.18032787
"61","ECOR3.SA",3843685.99155949
"62","AURE3.SA",3819846.29032258
"63","PCAR3.SA",3650631.11575563
"64","YDUQ3.SA",3588132.21262058
"65","TOTS3.SA",3515378.79501608
"66","CEAB3.SA",3440512.07609595
"67","QUAL3.SA",3346427.32315113
"68","CXSE3.SA",3262895.1536643
"69","LJQQ3.SA",3096404.10861057
"70","DXCO3.SA",3072974.21864952
"71","SIMH3.SA",3062520.8249497
"72","HYPE3.SA",2982833.98472669
"73","JHSF3.SA",2980584.05345659
"74","SAPR4.SA",2889785.74196141
"75","CASH3.SA",2852360.59375
"76","STBP3.SA",2813682.83762058
"77","MLAS3.SA",2722362.99112801
"78","SBSP3.SA",2716889.43207395
"79","ESPA3.SA",2716349.69767442
"80","ANIM3.SA",2647062.42926045
"81","MOVI3.SA",2564421.56876712
"82","SLCE3.SA",2435820.40715434
"83","ONCO3.SA",2406494.55555556
"84","LIGT3.SA",2397914.52813505
"85","BPAN4.SA",2364679.13062701
"86","RAPT4.SA",2340105.15393891
"87","MEAL3.SA",2200459.68086817
"88","NEOE3.SA",2167902.30946882
"89","ALPA4.SA",2159957.58601286
"90","RECV3.SA",2094867.60260973
"91","AESB3.SA",2093454.14400922
"92","FLRY3.SA",1973624.3420418
"93","SMFT3.SA",1947616.35220126
"94","CPFE3.SA",1915642.89067524
"95","CPLE3.SA",1901704.96382637
"96","TRPL4.SA",1841449.41318328
"97","SRNA3.SA",1840093.69501466
"98","NGRD3.SA",1836393.12567132
"99","VIVA3.SA",1835274.46982055
"100","GGPS3.SA",1830801.17924528
