"","CNPJ_CIA","CD_CVM","DT_REFER","DT_INI_EXERC","DT_FIM_EXERC","DENOM_CIA","VERSAO","GRUPO_DFP","MOEDA","ESCALA_MOEDA","ORDEM_EXERC","CD_CONTA","DS_CONTA","VL_CONTA","COLUNA_DF","source_file"
"1","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1","Ativo Total",1050888000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"2","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01","Ativo Circulante",157079000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"3","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.01","Caixa e Equivalentes de Caixa",61613000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"4","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.02","Aplicações Financeiras",13650000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"5","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.02.01","Aplicações Financeiras Avaliadas a Valor Justo através do Resultado",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"6","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.02.01.01","Títulos para Negociação",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"7","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.02.01.02","Títulos Designados a Valor Justo",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"8","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.02.02","Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"9","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.02.03","Aplicações Financeiras Avaliadas ao Custo Amortizado",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"10","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.03","Contas a Receber",29702000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
